Longitude,Latitude,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
53.743,39.474,0.0,2.36800082376,4.217022719999999,5.119491898080001,0.0,0.813596356272,21.58134481224,16.429728122975998,7.556277057899999,7.4344387896,13.314715900911999,10.115675190191999,5.542989090048,15.338316254159997,9.491289538535998,7.6634075631359995,13.696000386720002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.389094319999998,0.0
61.673,36.512,0.0,0.0,0.0,0.0,15.761714852880003,9.538185113352,0.0,0.0,0.0,0.0,0.0,0.0,6.0175833708479995,0.731627706576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.542,36.402,0.0,0.0,2.9527903483199998,0.0,,0.0,5.2897824,0.0,0.0,5.691823199999999,0.0,0.0,0.0,0.0,3.53937168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.67,37.961,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.663,36.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.453193399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.876,39.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.115879338776,0.0,0.0,0.0
54.203,38.51,0.0,0.0,0.0,0.0,0.0,0.0,3.7062734533439996,0.0,0.0,0.0,0.0,0.0,0.0,5.690355122880001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4291705699439996,0.0,0.0
54.587,39.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3065512002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.28,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5517857290399997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.638,39.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.41632067048,3.7541693412,21.796680479999996
62.806,38.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.105073600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,37.798,0.0,0.0,0.0,35.57953001232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
