Longitude,Latitude,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
62.5,37.798,0.0,0.0,0.0,13.785478111439998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.602,38.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3327568,0.0,0.0,0.0
61.477,36.433,0.0,0.0,1.6754764449832704,1.66732455257131,9.619076929896,3.258700196544,10.283302447896,,3.544271208576,0.6765667156301584,4.386160895568715,0.0,0.0,0.0,0.0,3.1016517714813143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.555,36.51,0.0,0.0,0.0,6.393666306912813,0.0,0.0,0.0,5.61080667168,0.0,0.0,3.653832,0.0,0.0,0.0,1.3574182927518925,5.887561029543698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.445,36.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8815280870559996,0.0,0.0,1.082422643232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.636,37.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71049512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.899,37.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.445,36.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25874955046107945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.84,38.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0804948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.349,37.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.458,36.484,0.0,8.646857321392558,0.0,0.0,1.6814830515119998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.382496873920001,0.0,0.0,0.0
54.417,38.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.897327364736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
