Longitude,Latitude,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2008,2009,2010,2011
61.28,40.8,3.0,10.0,9.0,11.0,10.0,13.0,8.0,11.0,18.0,15.0,15.0,12.0,16.0,10.0,11.0,9.0,6.0,7.0,12.0,8.0,5.0
61.386,36.431,3.0,11.0,12.0,9.0,12.0,13.0,12.0,12.0,12.0,16.0,12.0,13.0,15.0,16.0,14.0,15.0,6.0,8.0,14.0,9.0,6.0
61.31,40.791,3.0,10.0,9.0,11.0,11.0,12.0,8.0,12.0,17.0,15.0,15.0,13.0,17.0,10.0,11.0,9.0,6.0,7.0,12.0,8.0,6.0
54.193,38.568,5.0,11.0,7.0,13.0,8.0,9.0,9.0,12.0,13.0,10.0,10.0,12.0,14.0,12.0,11.0,7.0,3.0,5.0,9.0,10.0,8.0
53.828,39.392,10.0,17.0,15.0,13.0,14.0,16.0,14.0,17.0,18.0,15.0,16.0,19.0,22.0,25.0,15.0,14.0,7.0,10.0,22.0,15.0,14.0
61.539,36.513,3.0,13.0,12.0,9.0,12.0,13.0,10.0,12.0,13.0,16.0,14.0,15.0,16.0,16.0,14.0,13.0,6.0,8.0,14.0,8.0,6.0
62.5,38.395,14.0,10.0,32.0,23.0,34.0,37.0,29.0,38.0,33.0,33.0,17.0,9.0,12.0,36.0,37.0,35.0,16.0,20.0,39.0,37.0,26.0
60.738,40.917,3.0,35.0,28.0,26.0,29.0,35.0,33.0,33.0,41.0,33.0,39.0,37.0,32.0,36.0,32.0,34.0,17.0,22.0,37.0,31.0,16.0
7.597,28.705,28.0,29.0,29.0,27.0,31.0,32.0,24.0,26.0,27.0,26.0,23.0,29.0,31.0,30.0,21.0,17.0,10.0,17.0,28.0,30.0,25.0
54.621,37.853,5.0,5.0,11.0,18.0,9.0,16.0,17.0,17.0,16.0,15.0,8.0,13.0,11.0,18.0,12.0,16.0,10.0,11.0,18.0,14.0,12.0
59.495,39.57,9.0,26.0,22.0,23.0,26.0,23.0,26.0,25.0,30.0,27.0,23.0,26.0,24.0,22.0,24.0,27.0,14.0,16.0,24.0,25.0,8.0
58.136,39.76,8.0,8.0,11.0,8.0,11.0,10.0,11.0,12.0,7.0,15.0,17.0,15.0,10.0,19.0,13.0,12.0,9.0,12.0,13.0,9.0,4.0
61.0,37.184,8.0,23.0,22.0,21.0,23.0,22.0,21.0,25.0,24.0,27.0,28.0,26.0,30.0,30.0,30.0,27.0,10.0,17.0,30.0,20.0,14.0
54.528,39.204,5.0,12.0,8.0,13.0,8.0,10.0,11.0,12.0,9.0,10.0,8.0,11.0,12.0,15.0,12.0,12.0,6.0,6.0,9.0,10.0,8.0
61.723,40.048,4.0,22.0,16.0,18.0,24.0,20.0,17.0,16.0,25.0,27.0,30.0,29.0,27.0,24.0,25.0,22.0,11.0,14.0,28.0,21.0,12.0
61.56,36.42,4.0,13.0,12.0,9.0,12.0,13.0,12.0,10.0,13.0,17.0,13.0,14.0,15.0,16.0,14.0,13.0,6.0,8.0,15.0,8.0,6.0
53.828,39.396,9.0,17.0,15.0,13.0,14.0,16.0,14.0,17.0,19.0,15.0,16.0,18.0,21.0,25.0,15.0,14.0,6.0,10.0,22.0,14.0,14.0
54.621,39.589,14.0,31.0,11.0,22.0,16.0,16.0,27.0,19.0,14.0,18.0,18.0,22.0,22.0,30.0,28.0,25.0,11.0,14.0,20.0,20.0,18.0
54.145,39.833,12.0,19.0,17.0,21.0,15.0,18.0,19.0,20.0,20.0,21.0,18.0,20.0,21.0,21.0,20.0,19.0,12.0,11.0,25.0,18.0,13.0
53.836,39.385,9.0,17.0,15.0,13.0,14.0,16.0,14.0,17.0,18.0,14.0,15.0,19.0,22.0,23.0,16.0,14.0,8.0,10.0,22.0,15.0,13.0
53.84,39.396,10.0,17.0,15.0,13.0,13.0,16.0,14.0,16.0,18.0,14.0,15.0,18.0,22.0,22.0,15.0,14.0,8.0,10.0,21.0,15.0,13.0
61.455,36.48,4.0,13.0,11.0,9.0,11.0,13.0,11.0,12.0,13.0,16.0,14.0,15.0,13.0,14.0,12.0,16.0,6.0,8.0,14.0,8.0,6.0
54.587,39.426,5.0,11.0,6.0,11.0,9.0,10.0,13.0,11.0,8.0,8.0,8.0,10.0,11.0,13.0,11.0,11.0,5.0,6.0,11.0,10.0,9.0
61.417,40.374,6.0,12.0,8.0,9.0,12.0,12.0,9.0,10.0,16.0,12.0,13.0,15.0,15.0,12.0,12.0,9.0,8.0,9.0,14.0,10.0,7.0
61.698,36.511,4.0,12.0,10.0,9.0,12.0,15.0,11.0,11.0,13.0,17.0,13.0,14.0,14.0,14.0,12.0,14.0,6.0,8.0,14.0,7.0,6.0
